bechdel_rating,title,year,binary,budget_2013$,domgross_2013$,intgross_2013$,genres,averageRating,numVotes
3,How to Train Your Dragon,2010,PASS,176258254,232427199.0,528636950.0,"Action,Adventure,Animation",8.1,622618
0,"Illusionist, The",2010,FAIL,17625825,42588953.0,89509349.0,"Animation,Drama",7.5,32092
1,It&#39;s Kind of a Funny Story,2010,FAIL,8545855,6797830.0,7080589.0,"Comedy,Drama,Romance",7.1,127703
3,"Kids Are All Right, The",2010,PASS,4272927,22231363.0,38750611.0,"Comedy,Drama,Romance",7.0,121524
1,"Killer Inside Me, The",2010,FAIL,13887014,232102.0,3864090.0,"Crime,Drama,Horror",6.1,32002
2,Knight and Day,2010,FAIL,124983125,81637519.0,280028482.0,"Action,Adventure,Comedy",6.3,171684
1,"Last Airbender, The",2010,FAIL,160234776,140763246.0,341528548.0,"Action,Adventure,Family",4.1,139520
3,Letters to Juliet,2010,FAIL,32046955,56650955.0,84535576.0,"Adventure,Comedy,Drama",6.5,87310
1,"Losers, The",2010,FAIL,26705796,25201119.0,28536765.0,"Action,Adventure,Crime",6.3,85973
2,Love and Other Drugs,2010,FAIL,32046955,34575465.0,109728398.0,"Comedy,Drama,Romance",6.7,170187
3,Machete,2010,PASS,13352898,28408179.0,47356808.0,"Action,Crime,Thriller",6.6,184016
0,Megamind,2010,FAIL,138870139,158542540.0,343850165.0,"Action,Animation,Comedy",7.2,212137
3,Percy Jackson &amp; the Olympians: The Lightning Thief,2010,FAIL,101482025,94825128.0,241919399.0,"Adventure,Family,Fantasy",5.9,167468
3,Please Give,2010,PASS,3204696,4308792.0,4882010.0,"Comedy,Drama",6.6,10697
0,Prince of Persia: The Sands of Time,2010,FAIL,213646368,96952376.0,357921415.0,"Action,Fantasy",6.6,258765
3,Rabbit Hole,2010,PASS,5341159,2381151.0,6238038.0,Drama,7.0,45705
3,Ramona and Beezus,2010,PASS,16023478,27952425.0,29343924.0,"Adventure,Comedy,Family",6.5,16323
3,Robin Hood,2010,FAIL,224328687,112684730.0,344460978.0,"Action,Drama,History",6.6,242177
3,Salt,2010,PASS,138870139,126383971.0,315890541.0,"Action,Mystery,Thriller",6.4,280361
3,Scott Pilgrim vs. the World,2010,PASS,90799707,33768214.0,51371013.0,"Action,Comedy,Fantasy",7.5,346075
1,Shrek Forever After,2010,FAIL,176258254,255026238.0,807844640.0,"Adventure,Animation,Comedy",6.3,171114
1,"Sorcerer&#39;s Apprentice, The",2010,FAIL,170917095,67459899.0,229831139.0,"Action,Adventure,Family",6.1,145656
2,"Switch, The",2010,FAIL,20296405,29652476.0,53260400.0,"Comedy,Drama,Romance",6.1,91789
3,Tangled,2010,PASS,277740279,214524387.0,626605502.0,"Adventure,Animation,Comedy",7.7,373994
1,"Town, The",2010,FAIL,39524578,98476300.0,162976800.0,"Crime,Drama,Thriller",7.5,327477
3,Toy Story 3,2010,FAIL,213646368,443321427.0,1136341723.0,"Adventure,Animation,Comedy",8.3,703327
3,Unstoppable,2010,FAIL,101482025,87128132.0,181077698.0,"Action,Thriller",6.7,175161
3,Valentine&#39;s Day,2010,PASS,55548056,118024294.0,232414484.0,"Comedy,Romance",5.7,108231
1,"Wolfman, The",2010,FAIL,160234776,66433214.0,152366563.0,"Drama,Fantasy,Horror",5.8,99045
3,17 Again,2009,PASS,43429264,69668214.0,151432312.0,"Comedy,Drama,Fantasy",6.3,169664
0,9,2009,FAIL,32571948,34471863.0,52723125.0,"Action,Adventure,Animation",7.1,127185
3,A Perfect Getaway,2009,FAIL,15200242,16845625.0,24771466.0,"Mystery,Thriller",6.5,64719
3,All About Steve,2009,PASS,16285974,36766024.0,43567433.0,"Comedy,Romance",4.8,38209
0,Angels &amp; Demons,2009,FAIL,162859739,144810370.0,532959416.0,"Mystery,Thriller",6.7,256780
0,Armored,2009,FAIL,21714632,17359628.0,25689537.0,"Action,Crime,Thriller",5.7,28861
3,Astro Boy,2009,FAIL,70572554,21227211.0,47873178.0,"Action,Animation,Comedy",6.3,31098
2,Avatar,2009,FAIL,461435929,825707158.0,3022588801.0,"Action,Adventure,Fantasy",7.8,1062074
2,"Blind Side, The",2009,FAIL,38000606,277903289.0,331914441.0,"Biography,Drama,Sport",7.6,271980
3,"Box, The",2009,PASS,27143290,16342407.0,28600229.0,"Drama,Fantasy,Mystery",5.5,86130
0,Br&uuml;no,2009,FAIL,45600727,65203101.0,142000928.0,Comedy,5.8,135689
3,Bride Wars,2009,PASS,32571948,63749284.0,125022454.0,"Comedy,Romance",5.5,95708
3,Bright Star,2009,PASS,9228719,4825683.0,18740466.0,"Biography,Drama,Romance",6.9,24232
3,Brothers,2009,PASS,28229022,30991293.0,48905553.0,"Action,Drama,Thriller",7.1,104741
3,Case 39,2009,PASS,29314753,14398811.0,31814980.0,"Horror,Mystery,Thriller",6.2,72973
3,"City of Your Final Destination, The",2009,PASS,9011572,535587.0,1469316.0,"Drama,Romance",6.3,2703
1,Cloudy with a Chance of Meatballs,2009,FAIL,108573160,135575603.0,257131292.0,"Adventure,Animation,Comedy",6.9,189817
3,Coraline,2009,PASS,65143896,81740638.0,136842415.0,"Animation,Drama,Fantasy",7.7,181500
1,Daybreakers,2009,FAIL,21714632,32682233.0,55808316.0,"Action,Fantasy,Horror",6.4,117875
2,Everybody&#39;s Fine,2009,FAIL,21714632,9998368.0,9998368.0,"Adventure,Drama",7.1,56575
1,Fantastic Mr. Fox,2009,FAIL,43429264,22803533.0,50485349.0,"Adventure,Animation,Comedy",7.8,180398
1,Fast &amp; Furious,2009,FAIL,92287186,168358172.0,394190344.0,"Action,Adventure,Thriller",6.6,247021
2,Friday the 13th,2009,FAIL,18457437,70574746.0,99562425.0,"Horror,Mystery,Thriller",5.5,90840
1,G-Force,2009,FAIL,162859739,129676275.0,312028062.0,"Action,Adventure,Animation",5.1,39967
3,Harry Potter and the Half-Blood Prince,2009,PASS,271432899,327846641.0,1014525504.0,"Action,Adventure,Family",7.6,428042
3,He&#39;s Just Not That Into You,2009,PASS,43429264,102008450.0,193683923.0,"Comedy,Drama,Romance",6.4,151798
3,Inglourious Basterds,2009,FAIL,76001212,131190089.0,344146212.0,"Adventure,Drama,War",8.3,1155323
1,Knowing,2009,FAIL,54286580,86812530.0,203964063.0,"Action,Drama,Mystery",6.2,211027
3,"Last Station, The",2009,PASS,19543169,7185227.0,17041802.0,"Biography,Drama,Romance",7.0,17117
3,Life During Wartime,2009,PASS,4885792,305576.0,305576.0,"Comedy,Drama",6.4,6544
3,"Lovely Bones, The",2009,PASS,103144502,47896216.0,103029901.0,"Drama,Fantasy,Thriller",6.7,147571
